id_facture;id_contrat;date_emission;date_echeance;periode_debut;periode_fin;montant_ht;tva;montant_ttc;cout_energie;consommation;statut_paiement;id_client;id_compteur;created_at;updated_at;montant_ht ;montant_ttc_1;cout_energie_1
FAC00001304         ;CTR000113      ;2022/05/13 00:00:00.000;2022/06/12 00:00:00.000;2022/04/13 00:00:00.000;2022/05/13 00:00:00.000;5;20;6;3;61;Payée     ;CLI00158  ;GAZ_0036            ;2026/01/03 22:25:27.000000000;2026/01/03 22:25:27.000000000;5;6;3
FAC00000085         ;CTR000008      ;2022/05/14 00:00:00.000;2022/06/13 00:00:00.000;2022/04/14 00:00:00.000;2022/05/14 00:00:00.000;286;20;343;171;1907;Payée     ;CLI00025  ;ELEC_0136           ;2026/01/03 22:25:21.000000000;2026/01/03 22:25:21.000000000;286;343;171
FAC00000654         ;CTR000058      ;2022/05/14 00:00:00.000;2022/06/13 00:00:00.000;2022/04/14 00:00:00.000;2022/05/14 00:00:00.000;181;20;217;108;1206;Payée     ;CLI00137  ;ELEC_0130           ;2026/01/03 22:25:24.000000000;2026/01/03 22:25:24.000000000;181;217;108
FAC00000494         ;CTR000044      ;2022/05/15 00:00:00.000;2022/06/14 00:00:00.000;2022/04/15 00:00:00.000;2022/05/15 00:00:00.000;227;20;273;136;54;En retard ;CLI00085  ;EAU_0113            ;2026/01/03 22:25:23.000000000;2026/01/03 22:25:23.000000000;227;273;136
FAC00000866         ;CTR000076      ;2022/05/15 00:00:00.000;2022/06/14 00:00:00.000;2022/04/15 00:00:00.000;2022/05/15 00:00:00.000;224;20;268;134;53;Payée     ;CLI00142  ;EAU_0041            ;2026/01/03 22:25:25.000000000;2026/01/03 22:25:25.000000000;224;268;134
FAC00001387         ;CTR000120      ;2022/05/15 00:00:00.000;2022/06/14 00:00:00.000;2022/04/15 00:00:00.000;2022/05/15 00:00:00.000;82;20;98;49;19;Payée     ;CLI00183  ;EAU_0083            ;2026/01/03 22:25:28.000000000;2026/01/03 22:25:28.000000000;82;98;49
FAC00001493         ;CTR000129      ;2022/05/15 00:00:00.000;2022/06/14 00:00:00.000;2022/04/15 00:00:00.000;2022/05/15 00:00:00.000;187;20;225;112;1253;Payée     ;CLI00083  ;ELEC_0073           ;2026/01/03 22:25:28.000000000;2026/01/03 22:25:28.000000000;187;225;112
FAC00001137         ;CTR000099      ;2022/05/18 00:00:00.000;2022/06/17 00:00:00.000;2022/04/18 00:00:00.000;2022/05/18 00:00:00.000;35;20;42;21;393;Payée     ;CLI00092  ;GAZ_0003            ;2026/01/03 22:25:26.000000000;2026/01/03 22:25:26.000000000;35;42;21
FAC00000590         ;CTR000052      ;2022/05/20 00:00:00.000;2022/06/19 00:00:00.000;2022/04/20 00:00:00.000;2022/05/20 00:00:00.000;66;20;79;39;442;En attente;CLI00141  ;ELEC_0007           ;2026/01/03 22:25:23.000000000;2026/01/03 22:25:23.000000000;66;79;39
FAC00002067         ;CTR000180      ;2022/05/22 00:00:00.000;2022/06/21 00:00:00.000;2022/04/22 00:00:00.000;2022/05/22 00:00:00.000;180;20;216;108;42;Payée     ;CLI00086  ;EAU_0110            ;2026/01/03 22:25:31.000000000;2026/01/03 22:25:31.000000000;180;216;108
FAC00000854         ;CTR000075      ;2022/05/23 00:00:00.000;2022/06/22 00:00:00.000;2022/04/23 00:00:00.000;2022/05/23 00:00:00.000;38;20;46;23;427;Payée     ;CLI00043  ;GAZ_0063            ;2026/01/03 22:25:25.000000000;2026/01/03 22:25:25.000000000;38;46;23
FAC00001624         ;CTR000141      ;2022/05/25 00:00:00.000;2022/06/24 00:00:00.000;2022/04/25 00:00:00.000;2022/05/25 00:00:00.000;80;20;96;48;538;En attente;CLI00058  ;ELEC_0133           ;2026/01/03 22:25:29.000000000;2026/01/03 22:25:29.000000000;80;96;48
FAC00001950         ;CTR000170      ;2022/05/29 00:00:00.000;2022/06/28 00:00:00.000;2022/04/29 00:00:00.000;2022/05/29 00:00:00.000;329;20;395;197;78;Payée     ;CLI00021  ;EAU_0131            ;2026/01/03 22:25:31.000000000;2026/01/03 22:25:31.000000000;329;395;197
FAC00000064         ;CTR000006      ;2022/05/30 00:00:00.000;2022/06/29 00:00:00.000;2022/04/30 00:00:00.000;2022/05/30 00:00:00.000;36;20;44;22;408;Payée     ;CLI00015  ;GAZ_0003            ;2026/01/03 22:25:21.000000000;2026/01/03 22:25:21.000000000;36;44;22
FAC00001149         ;CTR000100      ;2022/05/30 00:00:00.000;2022/06/29 00:00:00.000;2022/04/30 00:00:00.000;2022/05/30 00:00:00.000;44;20;53;26;495;Payée     ;CLI00050  ;GAZ_0099            ;2026/01/03 22:25:26.000000000;2026/01/03 22:25:26.000000000;44;53;26
FAC00000156         ;CTR000014      ;2022/05/31 00:00:00.000;2022/06/30 00:00:00.000;2022/05/01 00:00:00.000;2022/05/31 00:00:00.000;41;20;50;25;463;Payée     ;CLI00077  ;GAZ_0042            ;2026/01/03 22:25:21.000000000;2026/01/03 22:25:21.000000000;41;50;25
FAC00001673         ;CTR000145      ;2022/06/01 00:00:00.000;2022/07/01 00:00:00.000;2022/05/02 00:00:00.000;2022/06/01 00:00:00.000;8;20;10;5;95;Payée     ;CLI00023  ;GAZ_0027            ;2026/01/03 22:25:29.000000000;2026/01/03 22:25:29.000000000;8;10;5
FAC00002058         ;CTR000179      ;2022/06/01 00:00:00.000;2022/07/01 00:00:00.000;2022/05/02 00:00:00.000;2022/06/01 00:00:00.000;41;20;50;25;464;Payée     ;CLI00033  ;GAZ_0069            ;2026/01/03 22:25:31.000000000;2026/01/03 22:25:31.000000000;41;50;25
FAC00001719         ;CTR000149      ;2022/06/02 00:00:00.000;2022/07/02 00:00:00.000;2022/05/03 00:00:00.000;2022/06/02 00:00:00.000;28;20;34;17;316;En attente;CLI00145  ;GAZ_0003            ;2026/01/03 22:25:30.000000000;2026/01/03 22:25:30.000000000;28;34;17
FAC00000702         ;CTR000062      ;2022/06/03 00:00:00.000;2022/07/03 00:00:00.000;2022/05/04 00:00:00.000;2022/06/03 00:00:00.000;103;20;124;62;692;En attente;CLI00166  ;ELEC_0103           ;2026/01/03 22:25:24.000000000;2026/01/03 22:25:24.000000000;103;124;62
FAC00001424         ;CTR000123      ;2022/06/03 00:00:00.000;2022/07/03 00:00:00.000;2022/05/04 00:00:00.000;2022/06/03 00:00:00.000;9;20;11;5;106;Payée     ;CLI00020  ;GAZ_0024            ;2026/01/03 22:25:28.000000000;2026/01/03 22:25:28.000000000;9;11;5
FAC00000037         ;CTR000004      ;2022/06/05 00:00:00.000;2022/07/05 00:00:00.000;2022/05/06 00:00:00.000;2022/06/05 00:00:00.000;22;20;27;13;253;Payée     ;CLI00021  ;GAZ_0009            ;2026/01/03 22:25:20.000000000;2026/01/03 22:25:20.000000000;22;27;13
FAC00001237         ;CTR000107      ;2022/06/05 00:00:00.000;2022/07/05 00:00:00.000;2022/05/06 00:00:00.000;2022/06/05 00:00:00.000;261;20;313;156;1743;Payée     ;CLI00140  ;ELEC_0094           ;2026/01/03 22:25:27.000000000;2026/01/03 22:25:27.000000000;261;313;156
FAC00000256         ;CTR000023      ;2022/06/08 00:00:00.000;2022/07/08 00:00:00.000;2022/05/09 00:00:00.000;2022/06/08 00:00:00.000;27;20;32;16;304;En retard ;CLI00097  ;GAZ_0111            ;2026/01/03 22:25:21.000000000;2026/01/03 22:25:21.000000000;27;32;16
FAC00000403         ;CTR000036      ;2022/06/08 00:00:00.000;2022/07/08 00:00:00.000;2022/05/09 00:00:00.000;2022/06/08 00:00:00.000;355;20;426;213;84;En attente;CLI00176  ;EAU_0098            ;2026/01/03 22:25:22.000000000;2026/01/03 22:25:22.000000000;355;426;213
FAC00000609         ;CTR000054      ;2022/06/09 00:00:00.000;2022/07/09 00:00:00.000;2022/05/10 00:00:00.000;2022/06/09 00:00:00.000;227;20;273;136;54;En attente;CLI00173  ;EAU_0128            ;2026/01/03 22:25:23.000000000;2026/01/03 22:25:23.000000000;227;273;136
FAC00001804         ;CTR000156      ;2022/06/09 00:00:00.000;2022/07/09 00:00:00.000;2022/05/10 00:00:00.000;2022/06/09 00:00:00.000;131;20;158;79;878;Payée     ;CLI00154  ;ELEC_0073           ;2026/01/03 22:25:30.000000000;2026/01/03 22:25:30.000000000;131;158;79
FAC00001305         ;CTR000113      ;2022/06/12 00:00:00.000;2022/07/12 00:00:00.000;2022/05/13 00:00:00.000;2022/06/12 00:00:00.000;20;20;24;12;227;Payée     ;CLI00158  ;GAZ_0036            ;2026/01/03 22:25:27.000000000;2026/01/03 22:25:27.000000000;20;24;12
FAC00000086         ;CTR000008      ;2022/06/13 00:00:00.000;2022/07/13 00:00:00.000;2022/05/14 00:00:00.000;2022/06/13 00:00:00.000;290;20;348;174;1937;Payée     ;CLI00025  ;ELEC_0136           ;2026/01/03 22:25:21.000000000;2026/01/03 22:25:21.000000000;290;348;174
FAC00000655         ;CTR000058      ;2022/06/13 00:00:00.000;2022/07/13 00:00:00.000;2022/05/14 00:00:00.000;2022/06/13 00:00:00.000;82;20;99;49;552;Payée     ;CLI00137  ;ELEC_0130           ;2026/01/03 22:25:24.000000000;2026/01/03 22:25:24.000000000;82;99;49
FAC00000495         ;CTR000044      ;2022/06/14 00:00:00.000;2022/07/14 00:00:00.000;2022/05/15 00:00:00.000;2022/06/14 00:00:00.000;147;20;177;88;35;Payée     ;CLI00085  ;EAU_0113            ;2026/01/03 22:25:23.000000000;2026/01/03 22:25:23.000000000;147;177;88
FAC00000867         ;CTR000076      ;2022/06/14 00:00:00.000;2022/07/14 00:00:00.000;2022/05/15 00:00:00.000;2022/06/14 00:00:00.000;318;20;382;191;75;En retard ;CLI00142  ;EAU_0041            ;2026/01/03 22:25:25.000000000;2026/01/03 22:25:25.000000000;318;382;191
FAC00001388         ;CTR000120      ;2022/06/14 00:00:00.000;2022/07/14 00:00:00.000;2022/05/15 00:00:00.000;2022/06/14 00:00:00.000;400;20;480;240;95;En attente;CLI00183  ;EAU_0083            ;2026/01/03 22:25:28.000000000;2026/01/03 22:25:28.000000000;400;480;240
FAC00001494         ;CTR000129      ;2022/06/14 00:00:00.000;2022/07/14 00:00:00.000;2022/05/15 00:00:00.000;2022/06/14 00:00:00.000;229;20;275;137;1530;Payée     ;CLI00083  ;ELEC_0073           ;2026/01/03 22:25:28.000000000;2026/01/03 22:25:28.000000000;229;275;137
FAC00001397         ;CTR000121      ;2022/06/15 00:00:00.000;2022/07/15 00:00:00.000;2022/05/16 00:00:00.000;2022/06/15 00:00:00.000;127;20;152;76;849;Payée     ;CLI00037  ;ELEC_0148           ;2026/01/03 22:25:28.000000000;2026/01/03 22:25:28.000000000;127;152;76
FAC00001029         ;CTR000090      ;2022/06/16 00:00:00.000;2022/07/16 00:00:00.000;2022/05/17 00:00:00.000;2022/06/16 00:00:00.000;221;20;265;132;1477;Payée     ;CLI00158  ;ELEC_0022           ;2026/01/03 22:25:26.000000000;2026/01/03 22:25:26.000000000;221;265;132
FAC00001138         ;CTR000099      ;2022/06/17 00:00:00.000;2022/07/17 00:00:00.000;2022/05/18 00:00:00.000;2022/06/17 00:00:00.000;6;20;7;3;68;Payée     ;CLI00092  ;GAZ_0003            ;2026/01/03 22:25:26.000000000;2026/01/03 22:25:26.000000000;6;7;3
FAC00000591         ;CTR000052      ;2022/06/19 00:00:00.000;2022/07/19 00:00:00.000;2022/05/20 00:00:00.000;2022/06/19 00:00:00.000;148;20;177;88;987;Payée     ;CLI00141  ;ELEC_0007           ;2026/01/03 22:25:23.000000000;2026/01/03 22:25:23.000000000;148;177;88
FAC00002068         ;CTR000180      ;2022/06/21 00:00:00.000;2022/07/21 00:00:00.000;2022/05/22 00:00:00.000;2022/06/21 00:00:00.000;257;20;308;154;61;En attente;CLI00086  ;EAU_0110            ;2026/01/03 22:25:31.000000000;2026/01/03 22:25:31.000000000;257;308;154
FAC00000855         ;CTR000075      ;2022/06/22 00:00:00.000;2022/07/22 00:00:00.000;2022/05/23 00:00:00.000;2022/06/22 00:00:00.000;31;20;37;18;351;Payée     ;CLI00043  ;GAZ_0063            ;2026/01/03 22:25:25.000000000;2026/01/03 22:25:25.000000000;31;37;18
FAC00001625         ;CTR000141      ;2022/06/24 00:00:00.000;2022/07/24 00:00:00.000;2022/05/25 00:00:00.000;2022/06/24 00:00:00.000;86;20;103;51;577;Payée     ;CLI00058  ;ELEC_0133           ;2026/01/03 22:25:29.000000000;2026/01/03 22:25:29.000000000;86;103;51
FAC00001951         ;CTR000170      ;2022/06/28 00:00:00.000;2022/07/28 00:00:00.000;2022/05/29 00:00:00.000;2022/06/28 00:00:00.000;235;20;282;141;56;Payée     ;CLI00021  ;EAU_0131            ;2026/01/03 22:25:31.000000000;2026/01/03 22:25:31.000000000;235;282;141
FAC00000065         ;CTR000006      ;2022/06/29 00:00:00.000;2022/07/29 00:00:00.000;2022/05/30 00:00:00.000;2022/06/29 00:00:00.000;38;20;46;23;430;Payée     ;CLI00015  ;GAZ_0003            ;2026/01/03 22:25:21.000000000;2026/01/03 22:25:21.000000000;38;46;23
FAC00001150         ;CTR000100      ;2022/06/29 00:00:00.000;2022/07/29 00:00:00.000;2022/05/30 00:00:00.000;2022/06/29 00:00:00.000;33;20;40;20;376;Payée     ;CLI00050  ;GAZ_0099            ;2026/01/03 22:25:26.000000000;2026/01/03 22:25:26.000000000;33;40;20
FAC00000157         ;CTR000014      ;2022/06/30 00:00:00.000;2022/07/30 00:00:00.000;2022/05/31 00:00:00.000;2022/06/30 00:00:00.000;37;20;45;22;420;Payée     ;CLI00077  ;GAZ_0042            ;2026/01/03 22:25:21.000000000;2026/01/03 22:25:21.000000000;37;45;22
FAC00001674         ;CTR000145      ;2022/07/01 00:00:00.000;2022/07/31 00:00:00.000;2022/06/01 00:00:00.000;2022/07/01 00:00:00.000;20;20;24;12;225;Payée     ;CLI00023  ;GAZ_0027            ;2026/01/03 22:25:29.000000000;2026/01/03 22:25:29.000000000;20;24;12
FAC00002059         ;CTR000179      ;2022/07/01 00:00:00.000;2022/07/31 00:00:00.000;2022/06/01 00:00:00.000;2022/07/01 00:00:00.000;38;20;46;23;431;En attente;CLI00033  ;GAZ_0069            ;2026/01/03 22:25:31.000000000;2026/01/03 22:25:31.000000000;38;46;23
FAC00001720         ;CTR000149      ;2022/07/02 00:00:00.000;2022/08/01 00:00:00.000;2022/06/02 00:00:00.000;2022/07/02 00:00:00.000;14;20;16;8;156;Payée     ;CLI00145  ;GAZ_0003            ;2026/01/03 22:25:30.000000000;2026/01/03 22:25:30.000000000;14;16;8
FAC00000703         ;CTR000062      ;2022/07/03 00:00:00.000;2022/08/02 00:00:00.000;2022/06/03 00:00:00.000;2022/07/03 00:00:00.000;79;20;95;47;532;En attente;CLI00166  ;ELEC_0103           ;2026/01/03 22:25:24.000000000;2026/01/03 22:25:24.000000000;79;95;47
FAC00001425         ;CTR000123      ;2022/07/03 00:00:00.000;2022/08/02 00:00:00.000;2022/06/03 00:00:00.000;2022/07/03 00:00:00.000;22;20;27;13;253;En retard ;CLI00020  ;GAZ_0024            ;2026/01/03 22:25:28.000000000;2026/01/03 22:25:28.000000000;22;27;13
