id_facture;id_contrat;date_emission;date_echeance;periode_debut;periode_fin;montant_ht;tva;montant_ttc;cout_energie;consommation;statut_paiement;id_client;id_compteur;created_at;updated_at
FAC00000154         ;CTR000014      ;2022/04/01 00:00:00.000;2022/05/01 00:00:00.000;2022/03/02 00:00:00.000;2022/04/01 00:00:00.000;5,67;20,0;6,8;3,4;63,03;Payée     ;CLI00077  ;GAZ_0042            ;2026/01/03 22:25:21.000000000;2026/01/03 22:25:21.000000000
FAC00001671         ;CTR000145      ;2022/04/02 00:00:00.000;2022/05/02 00:00:00.000;2022/03/03 00:00:00.000;2022/04/02 00:00:00.000;42,98;20,0;51,58;25,79;477,51;Payée     ;CLI00023  ;GAZ_0027            ;2026/01/03 22:25:29.000000000;2026/01/03 22:25:29.000000000
FAC00002056         ;CTR000179      ;2022/04/02 00:00:00.000;2022/05/02 00:00:00.000;2022/03/03 00:00:00.000;2022/04/02 00:00:00.000;14,03;20,0;16,84;8,42;155,84;Payée     ;CLI00033  ;GAZ_0069            ;2026/01/03 22:25:31.000000000;2026/01/03 22:25:31.000000000
FAC00001422         ;CTR000123      ;2022/04/04 00:00:00.000;2022/05/04 00:00:00.000;2022/03/05 00:00:00.000;2022/04/04 00:00:00.000;6,93;20,0;8,32;4,16;76,98;Payée     ;CLI00020  ;GAZ_0024            ;2026/01/03 22:25:28.000000000;2026/01/03 22:25:28.000000000
FAC00001235         ;CTR000107      ;2022/04/06 00:00:00.000;2022/05/06 00:00:00.000;2022/03/07 00:00:00.000;2022/04/06 00:00:00.000;113,5;20,0;136,2;68,1;756,68;En retard ;CLI00140  ;ELEC_0094           ;2026/01/03 22:25:27.000000000;2026/01/03 22:25:27.000000000
FAC00000254         ;CTR000023      ;2022/04/09 00:00:00.000;2022/05/09 00:00:00.000;2022/03/10 00:00:00.000;2022/04/09 00:00:00.000;15,1;20,0;18,12;9,06;167,73;Payée     ;CLI00097  ;GAZ_0111            ;2026/01/03 22:25:21.000000000;2026/01/03 22:25:21.000000000
FAC00000401         ;CTR000036      ;2022/04/09 00:00:00.000;2022/05/09 00:00:00.000;2022/03/10 00:00:00.000;2022/04/09 00:00:00.000;213,86;20,0;256,63;128,32;50,92;Payée     ;CLI00176  ;EAU_0098            ;2026/01/03 22:25:22.000000000;2026/01/03 22:25:22.000000000
FAC00001303         ;CTR000113      ;2022/04/13 00:00:00.000;2022/05/13 00:00:00.000;2022/03/14 00:00:00.000;2022/04/13 00:00:00.000;35,61;20,0;42,73;21,37;395,71;Payée     ;CLI00158  ;GAZ_0036            ;2026/01/03 22:25:27.000000000;2026/01/03 22:25:27.000000000
FAC00000084         ;CTR000008      ;2022/04/14 00:00:00.000;2022/05/14 00:00:00.000;2022/03/15 00:00:00.000;2022/04/14 00:00:00.000;64,38;20,0;77,26;38,63;429,23;Payée     ;CLI00025  ;ELEC_0136           ;2026/01/03 22:25:21.000000000;2026/01/03 22:25:21.000000000
FAC00000493         ;CTR000044      ;2022/04/15 00:00:00.000;2022/05/15 00:00:00.000;2022/03/16 00:00:00.000;2022/04/15 00:00:00.000;414,46;20,0;497,35;248,67;98,68;En attente;CLI00085  ;EAU_0113            ;2026/01/03 22:25:23.000000000;2026/01/03 22:25:23.000000000
FAC00001386         ;CTR000120      ;2022/04/15 00:00:00.000;2022/05/15 00:00:00.000;2022/03/16 00:00:00.000;2022/04/15 00:00:00.000;214,79;20,0;257,75;128,87;51,14;En attente;CLI00183  ;EAU_0083            ;2026/01/03 22:25:28.000000000;2026/01/03 22:25:28.000000000
FAC00001492         ;CTR000129      ;2022/04/15 00:00:00.000;2022/05/15 00:00:00.000;2022/03/16 00:00:00.000;2022/04/15 00:00:00.000;132,64;20,0;159,17;79,59;884,28;Payée     ;CLI00083  ;ELEC_0073           ;2026/01/03 22:25:28.000000000;2026/01/03 22:25:28.000000000
FAC00000589         ;CTR000052      ;2022/04/20 00:00:00.000;2022/05/20 00:00:00.000;2022/03/21 00:00:00.000;2022/04/20 00:00:00.000;82,1;20,0;98,52;49,26;547,34;Payée     ;CLI00141  ;ELEC_0007           ;2026/01/03 22:25:23.000000000;2026/01/03 22:25:23.000000000
FAC00002066         ;CTR000180      ;2022/04/22 00:00:00.000;2022/05/22 00:00:00.000;2022/03/23 00:00:00.000;2022/04/22 00:00:00.000;358,55;20,0;430,26;215,13;85,37;En attente;CLI00086  ;EAU_0110            ;2026/01/03 22:25:31.000000000;2026/01/03 22:25:31.000000000
FAC00001623         ;CTR000141      ;2022/04/25 00:00:00.000;2022/05/25 00:00:00.000;2022/03/26 00:00:00.000;2022/04/25 00:00:00.000;154,58;20,0;185,5;92,75;1030,52;En attente;CLI00058  ;ELEC_0133           ;2026/01/03 22:25:29.000000000;2026/01/03 22:25:29.000000000
FAC00000063         ;CTR000006      ;2022/04/30 00:00:00.000;2022/05/30 00:00:00.000;2022/03/31 00:00:00.000;2022/04/30 00:00:00.000;44,85;20,0;53,82;26,91;498,38;Payée     ;CLI00015  ;GAZ_0003            ;2026/01/03 22:25:21.000000000;2026/01/03 22:25:21.000000000
FAC00000155         ;CTR000014      ;2022/05/01 00:00:00.000;2022/05/31 00:00:00.000;2022/04/01 00:00:00.000;2022/05/01 00:00:00.000;38,4;20,0;46,08;23,04;426,64;Payée     ;CLI00077  ;GAZ_0042            ;2026/01/03 22:25:21.000000000;2026/01/03 22:25:21.000000000
FAC00001672         ;CTR000145      ;2022/05/02 00:00:00.000;2022/06/01 00:00:00.000;2022/04/02 00:00:00.000;2022/05/02 00:00:00.000;-38,58;20,0;46,3;23,15;428,7;Payée     ;CLI00023  ;GAZ_0027            ;2026/01/03 22:25:29.000000000;2026/01/03 22:25:29.000000000
FAC00002057         ;CTR000179      ;2022/05/02 00:00:00.000;2022/06/01 00:00:00.000;2022/04/02 00:00:00.000;2022/05/02 00:00:00.000;5,19;20,0;6,23;3,12;57,72;Payée     ;CLI00033  ;GAZ_0069            ;2026/01/03 22:25:31.000000000;2026/01/03 22:25:31.000000000
FAC00001423         ;CTR000123      ;2022/05/04 00:00:00.000;2022/06/03 00:00:00.000;2022/04/04 00:00:00.000;2022/05/04 00:00:00.000;18,86;20,0;22,63;11,31;209,51;Payée     ;CLI00020  ;GAZ_0024            ;2026/01/03 22:25:28.000000000;2026/01/03 22:25:28.000000000
FAC00001236         ;CTR000107      ;2022/05/06 00:00:00.000;2022/06/05 00:00:00.000;2022/04/06 00:00:00.000;2022/05/06 00:00:00.000;249,31;20,0;299,17;149,58;1662,05;Payée     ;CLI00140  ;ELEC_0094           ;2026/01/03 22:25:27.000000000;2026/01/03 22:25:27.000000000
FAC00000255         ;CTR000023      ;2022/05/09 00:00:00.000;2022/06/08 00:00:00.000;2022/04/09 00:00:00.000;2022/05/09 00:00:00.000;31,96;20,0;38,35;19,17;355,07;En attente;CLI00097  ;GAZ_0111            ;2026/01/03 22:25:21.000000000;2026/01/03 22:25:21.000000000
FAC00000402         ;CTR000036      ;2022/05/09 00:00:00.000;2022/06/08 00:00:00.000;2022/04/09 00:00:00.000;2022/05/09 00:00:00.000;164,51;20,0;197,41;98,71;39,17;Payée     ;CLI00176  ;EAU_0098            ;2026/01/03 22:25:22.000000000;2026/01/03 22:25:22.000000000
FAC00001803         ;CTR000156      ;2022/05/10 00:00:00.000;2022/06/09 00:00:00.000;2022/04/10 00:00:00.000;2022/05/10 00:00:00.000;236,91;20,0;284,29;142,15;1579,41;Payée     ;CLI00154  ;ELEC_0073           ;2026/01/03 22:25:30.000000000;2026/01/03 22:25:30.000000000
FAC00001304         ;CTR000113      ;2022/05/13 00:00:00.000;2022/06/12 00:00:00.000;2022/04/13 00:00:00.000;2022/05/13 00:00:00.000;5,55;20,0;6,66;3,33;61,68;Payée     ;CLI00158  ;GAZ_0036            ;2026/01/03 22:25:27.000000000;2026/01/03 22:25:27.000000000
FAC00000085         ;CTR000008      ;2022/05/14 00:00:00.000;2022/06/13 00:00:00.000;2022/04/14 00:00:00.000;2022/05/14 00:00:00.000;286,15;20,0;343,38;171,69;1907,66;Payée     ;CLI00025  ;ELEC_0136           ;2026/01/03 22:25:21.000000000;2026/01/03 22:25:21.000000000
FAC00000654         ;CTR000058      ;2022/05/14 00:00:00.000;2022/06/13 00:00:00.000;2022/04/14 00:00:00.000;2022/05/14 00:00:00.000;181,01;20,0;217,21;108,61;1206,73;Payée     ;CLI00137  ;ELEC_0130           ;2026/01/03 22:25:24.000000000;2026/01/03 22:25:24.000000000
FAC00000494         ;CTR000044      ;2022/05/15 00:00:00.000;2022/06/14 00:00:00.000;2022/04/15 00:00:00.000;2022/05/15 00:00:00.000;227,51;20,0;273,01;136,51;54,17;En retard ;CLI00085  ;EAU_0113            ;2026/01/03 22:25:23.000000000;2026/01/03 22:25:23.000000000
FAC00000866         ;CTR000076      ;2022/05/15 00:00:00.000;2022/06/14 00:00:00.000;2022/04/15 00:00:00.000;2022/05/15 00:00:00.000;224,03;20,0;268,84;134,42;53,34;Payée     ;CLI00142  ;EAU_0041            ;2026/01/03 22:25:25.000000000;2026/01/03 22:25:25.000000000
FAC00001387         ;CTR000120      ;2022/05/15 00:00:00.000;2022/06/14 00:00:00.000;2022/04/15 00:00:00.000;2022/05/15 00:00:00.000;82,03;20,0;98,44;49,22;19,53;Payée     ;CLI00183  ;EAU_0083            ;2026/01/03 22:25:28.000000000;2026/01/03 22:25:28.000000000
FAC00001493         ;CTR000129      ;2022/05/15 00:00:00.000;2022/06/14 00:00:00.000;2022/04/15 00:00:00.000;2022/05/15 00:00:00.000;187,99;20,0;225,59;112,8;1253,29;Payée     ;CLI00083  ;ELEC_0073           ;2026/01/03 22:25:28.000000000;2026/01/03 22:25:28.000000000
FAC00001137         ;CTR000099      ;2022/05/18 00:00:00.000;2022/06/17 00:00:00.000;2022/04/18 00:00:00.000;2022/05/18 00:00:00.000;35,37;20,0;42,44;21,22;393,02;Payée     ;CLI00092  ;GAZ_0003            ;2026/01/03 22:25:26.000000000;2026/01/03 22:25:26.000000000
FAC00000590         ;CTR000052      ;2022/05/20 00:00:00.000;2022/06/19 00:00:00.000;2022/04/20 00:00:00.000;2022/05/20 00:00:00.000;66,38;20,0;79,66;39,83;442,52;En attente;CLI00141  ;ELEC_0007           ;2026/01/03 22:25:23.000000000;2026/01/03 22:25:23.000000000
FAC00002067         ;CTR000180      ;2022/05/22 00:00:00.000;2022/06/21 00:00:00.000;2022/04/22 00:00:00.000;2022/05/22 00:00:00.000;180,05;20,0;216,06;108,03;42,87;Payée     ;CLI00086  ;EAU_0110            ;2026/01/03 22:25:31.000000000;2026/01/03 22:25:31.000000000
FAC00000854         ;CTR000075      ;2022/05/23 00:00:00.000;2022/06/22 00:00:00.000;2022/04/23 00:00:00.000;2022/05/23 00:00:00.000;38,52;20,0;46,22;23,11;427,98;Payée     ;CLI00043  ;GAZ_0063            ;2026/01/03 22:25:25.000000000;2026/01/03 22:25:25.000000000
FAC00001624         ;CTR000141      ;2022/05/25 00:00:00.000;2022/06/24 00:00:00.000;2022/04/25 00:00:00.000;2022/05/25 00:00:00.000;80,72;20,0;96,86;48,43;538,12;En attente;CLI00058  ;ELEC_0133           ;2026/01/03 22:25:29.000000000;2026/01/03 22:25:29.000000000
FAC00001950         ;CTR000170      ;2022/05/29 00:00:00.000;2022/06/28 00:00:00.000;2022/04/29 00:00:00.000;2022/05/29 00:00:00.000;329,62;20,0;395,54;197,77;78,48;Payée     ;CLI00021  ;EAU_0131            ;2026/01/03 22:25:31.000000000;2026/01/03 22:25:31.000000000
FAC00000064         ;CTR000006      ;2022/05/30 00:00:00.000;2022/06/29 00:00:00.000;2022/04/30 00:00:00.000;2022/05/30 00:00:00.000;36,79;20,0;44,15;22,08;408,83;Payée     ;CLI00015  ;GAZ_0003            ;2026/01/03 22:25:21.000000000;2026/01/03 22:25:21.000000000
FAC00001149         ;CTR000100      ;2022/05/30 00:00:00.000;2022/06/29 00:00:00.000;2022/04/30 00:00:00.000;2022/05/30 00:00:00.000;44,62;20,0;53,54;26,77;495,8;Payée     ;CLI00050  ;GAZ_0099            ;2026/01/03 22:25:26.000000000;2026/01/03 22:25:26.000000000
FAC00000156         ;CTR000014      ;2022/05/31 00:00:00.000;2022/06/30 00:00:00.000;2022/05/01 00:00:00.000;2022/05/31 00:00:00.000;41,68;20,0;50,02;25,01;463,11;Payée     ;CLI00077  ;GAZ_0042            ;2026/01/03 22:25:21.000000000;2026/01/03 22:25:21.000000000
FAC00001673         ;CTR000145      ;2022/06/01 00:00:00.000;2022/07/01 00:00:00.000;2022/05/02 00:00:00.000;2022/06/01 00:00:00.000;8,57;20,0;10,28;5,14;95,23;Payée     ;CLI00023  ;GAZ_0027            ;2026/01/03 22:25:29.000000000;2026/01/03 22:25:29.000000000
FAC00002058         ;CTR000179      ;2022/06/01 00:00:00.000;2022/07/01 00:00:00.000;2022/05/02 00:00:00.000;2022/06/01 00:00:00.000;41,8;20,0;50,16;25,08;464,41;Payée     ;CLI00033  ;GAZ_0069            ;2026/01/03 22:25:31.000000000;2026/01/03 22:25:31.000000000
FAC00001719         ;CTR000149      ;2022/06/02 00:00:00.000;2022/07/02 00:00:00.000;2022/05/03 00:00:00.000;2022/06/02 00:00:00.000;28,5;20,0;34,2;17,1;316,68;En attente;CLI00145  ;GAZ_0003            ;2026/01/03 22:25:30.000000000;2026/01/03 22:25:30.000000000
FAC00000702         ;CTR000062      ;2022/06/03 00:00:00.000;2022/07/03 00:00:00.000;2022/05/04 00:00:00.000;2022/06/03 00:00:00.000;103,92;20,0;124,7;62,35;692,83;En attente;CLI00166  ;ELEC_0103           ;2026/01/03 22:25:24.000000000;2026/01/03 22:25:24.000000000
FAC00001424         ;CTR000123      ;2022/06/03 00:00:00.000;2022/07/03 00:00:00.000;2022/05/04 00:00:00.000;2022/06/03 00:00:00.000;9,55;20,0;11,46;5,73;106,14;Payée     ;CLI00020  ;GAZ_0024            ;2026/01/03 22:25:28.000000000;2026/01/03 22:25:28.000000000
FAC00000037         ;CTR000004      ;2022/06/05 00:00:00.000;2022/07/05 00:00:00.000;2022/05/06 00:00:00.000;2022/06/05 00:00:00.000;22,81;20,0;27,37;13,69;253,49;Payée     ;CLI00021  ;GAZ_0009            ;2026/01/03 22:25:20.000000000;2026/01/03 22:25:20.000000000
FAC00001237         ;CTR000107      ;2022/06/05 00:00:00.000;2022/07/05 00:00:00.000;2022/05/06 00:00:00.000;2022/06/05 00:00:00.000;261,56;20,0;313,87;156,94;1743,76;Payée     ;CLI00140  ;ELEC_0094           ;2026/01/03 22:25:27.000000000;2026/01/03 22:25:27.000000000
FAC00000256         ;CTR000023      ;2022/06/08 00:00:00.000;2022/07/08 00:00:00.000;2022/05/09 00:00:00.000;2022/06/08 00:00:00.000;27,38;20,0;32,86;16,43;304,26;En retard ;CLI00097  ;GAZ_0111            ;2026/01/03 22:25:21.000000000;2026/01/03 22:25:21.000000000
FAC00000403         ;CTR000036      ;2022/06/08 00:00:00.000;2022/07/08 00:00:00.000;2022/05/09 00:00:00.000;2022/06/08 00:00:00.000;355,61;20,0;426,73;213,37;84,67;En attente;CLI00176  ;EAU_0098            ;2026/01/03 22:25:22.000000000;2026/01/03 22:25:22.000000000
FAC00000609         ;CTR000054      ;2022/06/09 00:00:00.000;2022/07/09 00:00:00.000;2022/05/10 00:00:00.000;2022/06/09 00:00:00.000;227,77;20,0;273,32;136,66;54,23;En attente;CLI00173  ;EAU_0128            ;2026/01/03 22:25:23.000000000;2026/01/03 22:25:23.000000000
FAC00001804         ;CTR000156      ;2022/06/09 00:00:00.000;2022/07/09 00:00:00.000;2022/05/10 00:00:00.000;2022/06/09 00:00:00.000;131,79;20,0;158,15;79,08;878,62;Payée     ;CLI00154  ;ELEC_0073           ;2026/01/03 22:25:30.000000000;2026/01/03 22:25:30.000000000
FAC00001305         ;CTR000113      ;2022/06/12 00:00:00.000;2022/07/12 00:00:00.000;2022/05/13 00:00:00.000;2022/06/12 00:00:00.000;20,46;20,0;24,55;12,28;227,38;Payée     ;CLI00158  ;GAZ_0036            ;2026/01/03 22:25:27.000000000;2026/01/03 22:25:27.000000000
FAC00000086         ;CTR000008      ;2022/06/13 00:00:00.000;2022/07/13 00:00:00.000;2022/05/14 00:00:00.000;2022/06/13 00:00:00.000;290,6;20,0;348,72;174,36;1937,33;Payée     ;CLI00025  ;ELEC_0136           ;2026/01/03 22:25:21.000000000;2026/01/03 22:25:21.000000000
FAC00000655         ;CTR000058      ;2022/06/13 00:00:00.000;2022/07/13 00:00:00.000;2022/05/14 00:00:00.000;2022/06/13 00:00:00.000;82,95;20,0;99,54;49,77;552,98;Payée     ;CLI00137  ;ELEC_0130           ;2026/01/03 22:25:24.000000000;2026/01/03 22:25:24.000000000
FAC00000495         ;CTR000044      ;2022/06/14 00:00:00.000;2022/07/14 00:00:00.000;2022/05/15 00:00:00.000;2022/06/14 00:00:00.000;147,92;20,0;177,5;88,75;35,22;Payée     ;CLI00085  ;EAU_0113            ;2026/01/03 22:25:23.000000000;2026/01/03 22:25:23.000000000
FAC00000867         ;CTR000076      ;2022/06/14 00:00:00.000;2022/07/14 00:00:00.000;2022/05/15 00:00:00.000;2022/06/14 00:00:00.000;318,44;20,0;382,13;191,07;75,82;En retard ;CLI00142  ;EAU_0041            ;2026/01/03 22:25:25.000000000;2026/01/03 22:25:25.000000000
FAC00001388         ;CTR000120      ;2022/06/14 00:00:00.000;2022/07/14 00:00:00.000;2022/05/15 00:00:00.000;2022/06/14 00:00:00.000;400,09;20,0;480,11;240,06;95,26;En attente;CLI00183  ;EAU_0083            ;2026/01/03 22:25:28.000000000;2026/01/03 22:25:28.000000000
FAC00001494         ;CTR000129      ;2022/06/14 00:00:00.000;2022/07/14 00:00:00.000;2022/05/15 00:00:00.000;2022/06/14 00:00:00.000;229,58;20,0;275,5;137,75;1530,53;Payée     ;CLI00083  ;ELEC_0073           ;2026/01/03 22:25:28.000000000;2026/01/03 22:25:28.000000000
FAC00001397         ;CTR000121      ;2022/06/15 00:00:00.000;2022/07/15 00:00:00.000;2022/05/16 00:00:00.000;2022/06/15 00:00:00.000;127,37;20,0;152,84;76,42;849,16;Payée     ;CLI00037  ;ELEC_0148           ;2026/01/03 22:25:28.000000000;2026/01/03 22:25:28.000000000
FAC00001029         ;CTR000090      ;2022/06/16 00:00:00.000;2022/07/16 00:00:00.000;2022/05/17 00:00:00.000;2022/06/16 00:00:00.000;221,65;20,0;265,98;132,99;1477,69;Payée     ;CLI00158  ;ELEC_0022           ;2026/01/03 22:25:26.000000000;2026/01/03 22:25:26.000000000
FAC00001138         ;CTR000099      ;2022/06/17 00:00:00.000;2022/07/17 00:00:00.000;2022/05/18 00:00:00.000;2022/06/17 00:00:00.000;6,14;20,0;7,37;3,69;68,27;Payée     ;CLI00092  ;GAZ_0003            ;2026/01/03 22:25:26.000000000;2026/01/03 22:25:26.000000000
FAC00000591         ;CTR000052      ;2022/06/19 00:00:00.000;2022/07/19 00:00:00.000;2022/05/20 00:00:00.000;2022/06/19 00:00:00.000;148,12;20,0;177,74;88,88;987,5;Payée     ;CLI00141  ;ELEC_0007           ;2026/01/03 22:25:23.000000000;2026/01/03 22:25:23.000000000
FAC00002068         ;CTR000180      ;2022/06/21 00:00:00.000;2022/07/21 00:00:00.000;2022/05/22 00:00:00.000;2022/06/21 00:00:00.000;257,17;20,0;308,6;154,3;61,23;En attente;CLI00086  ;EAU_0110            ;2026/01/03 22:25:31.000000000;2026/01/03 22:25:31.000000000
FAC00000855         ;CTR000075      ;2022/06/22 00:00:00.000;2022/07/22 00:00:00.000;2022/05/23 00:00:00.000;2022/06/22 00:00:00.000;31,64;20,0;37,97;18,98;351,53;Payée     ;CLI00043  ;GAZ_0063            ;2026/01/03 22:25:25.000000000;2026/01/03 22:25:25.000000000
FAC00001625         ;CTR000141      ;2022/06/24 00:00:00.000;2022/07/24 00:00:00.000;2022/05/25 00:00:00.000;2022/06/24 00:00:00.000;86,59;20,0;103,91;51,95;577,25;Payée     ;CLI00058  ;ELEC_0133           ;2026/01/03 22:25:29.000000000;2026/01/03 22:25:29.000000000
FAC00001951         ;CTR000170      ;2022/06/28 00:00:00.000;2022/07/28 00:00:00.000;2022/05/29 00:00:00.000;2022/06/28 00:00:00.000;235,24;20,0;282,29;141,15;56,01;Payée     ;CLI00021  ;EAU_0131            ;2026/01/03 22:25:31.000000000;2026/01/03 22:25:31.000000000
FAC00000065         ;CTR000006      ;2022/06/29 00:00:00.000;2022/07/29 00:00:00.000;2022/05/30 00:00:00.000;2022/06/29 00:00:00.000;38,73;20,0;46,48;23,24;430,35;Payée     ;CLI00015  ;GAZ_0003            ;2026/01/03 22:25:21.000000000;2026/01/03 22:25:21.000000000
FAC00001150         ;CTR000100      ;2022/06/29 00:00:00.000;2022/07/29 00:00:00.000;2022/05/30 00:00:00.000;2022/06/29 00:00:00.000;33,87;20,0;40,64;20,32;376,34;Payée     ;CLI00050  ;GAZ_0099            ;2026/01/03 22:25:26.000000000;2026/01/03 22:25:26.000000000
FAC00000157         ;CTR000014      ;2022/06/30 00:00:00.000;2022/07/30 00:00:00.000;2022/05/31 00:00:00.000;2022/06/30 00:00:00.000;37,85;20,0;45,42;22,71;420,58;Payée     ;CLI00077  ;GAZ_0042            ;2026/01/03 22:25:21.000000000;2026/01/03 22:25:21.000000000
FAC00001674         ;CTR000145      ;2022/07/01 00:00:00.000;2022/07/31 00:00:00.000;2022/06/01 00:00:00.000;2022/07/01 00:00:00.000;20,33;20,0;24,4;12,2;225,88;Payée     ;CLI00023  ;GAZ_0027            ;2026/01/03 22:25:29.000000000;2026/01/03 22:25:29.000000000
FAC00002059         ;CTR000179      ;2022/07/01 00:00:00.000;2022/07/31 00:00:00.000;2022/06/01 00:00:00.000;2022/07/01 00:00:00.000;38,87;20,0;46,64;23,32;431,94;En attente;CLI00033  ;GAZ_0069            ;2026/01/03 22:25:31.000000000;2026/01/03 22:25:31.000000000
FAC00001720         ;CTR000149      ;2022/07/02 00:00:00.000;2022/08/01 00:00:00.000;2022/06/02 00:00:00.000;2022/07/02 00:00:00.000;14,07;20,0;16,88;8,44;156,34;Payée     ;CLI00145  ;GAZ_0003            ;2026/01/03 22:25:30.000000000;2026/01/03 22:25:30.000000000
